issue_id,severity,category,affected_codes,current_state,evidence_paths,implementation_risk,review_question,recommended_resolution_direction
DT-001,high,catalog_vs_code,"financial_records|financial_evidence|evidence_income|evidence_expense","Canonical active document types are evidence_income and evidence_expense. PROD runtime checklist config and repo fallback checklist config were aligned on 2026-05-06, but finance/payment evidence mappings and older code paths may still reference financial_records or financial_evidence.","src/server/config/checklists/iset-compliance.json; src/server/config/checklists/iset-intervention.json; src/pages/finance/widgets/PaymentDetailWidget.jsx; isetadminserver.js; db/dump/LaptopTransfer.sql","Remaining old financial_* references can still break finance evidence filtering or generated evidence fallback paths. Staff cannot select inactive/missing document types from the active catalog.","Are evidence_income and evidence_expense now confirmed as the canonical income/expense evidence pair for all PATH modules?","Treat evidence_income/evidence_expense as canonical for checklist config; finish aligning finance mappings, generated evidence fallback, and any test-data generators."
DT-002,medium,scope_mismatch,case_assessment,"Seeded catalog scope is application, but older design notes described case scope.","db/dump/LaptopTransfer.sql; docs/planning/document-model-erm-adjustment.md; isetadminserver.js","Application-less files, checklist logic, and document attachment rules may not match business intent.","Should a case manager assessment belong to the application, the case, or both by rule?","Confirm the canonical scope, then update the catalog and any attachment logic or planning docs that disagree."
DT-003,medium,scope_mismatch,funding_agreement,"Seeded catalog scope is application, but older design notes described action_plan scope.","db/dump/LaptopTransfer.sql; docs/planning/document-model-erm-adjustment.md; isetadminserver.js","Funding-agreement storage and reuse rules are ambiguous, especially once action plans diverge from the original application.","Should funding agreements be application-scoped, action-plan-scoped, or application plus action-plan by explicit rule?","Confirm one canonical model and align workflow generation, checklist matching, and storage scope accordingly."
DT-004,medium,scope_mismatch,voided_cheque,"Seeded catalog scope is client, but older design notes described payment_packet scope.","db/dump/LaptopTransfer.sql; docs/planning/document-model-erm-adjustment.md; isetadminserver.js","Payment-package checklist expectations may conflict with broader client-level reuse.","Should a voided cheque be reusable client profile evidence, packet-specific evidence, or both under separate types?","Confirm the business rule, then either keep client scope or introduce a distinct packet-scoped type if NWAC wants packet-specific proof."
DT-005,medium,scope_mismatch,receipt,"Seeded catalog scope is action_plan, but older design notes described payment_packet scope.","db/dump/LaptopTransfer.sql; docs/planning/document-model-erm-adjustment.md; src/pages/finance/widgets/PaymentDetailWidget.jsx","Payment evidence may be attached and interpreted inconsistently across payments, action plans, and supporting documents.","Should receipts be action-plan evidence, payment-packet evidence, or separate types for each use?","Define the canonical business meaning of receipt and scope it accordingly."
DT-006,medium,scope_mismatch,alternate_payee_letter,"Seeded catalog scope is action_plan, but older design notes described payment_packet scope.","db/dump/LaptopTransfer.sql; docs/planning/document-model-erm-adjustment.md; src/pages/finance/widgets/PaymentDetailWidget.jsx","Finance-related letters may be stored in a scope that does not reflect how staff think about payment requests.","Should alternate payee letters attach to the action plan or to a specific payment packet?","Confirm the canonical scope and align the catalog and finance evidence mapping."
DT-007,medium,inactive_but_referenced,statement_of_account,"Catalog row is inactive, but finance evidence mapping still points to it.","db/dump/LaptopTransfer.sql; src/pages/finance/widgets/PaymentDetailWidget.jsx","The finance UI can refer to a type that the active catalog no longer exposes as a selectable document type.","Is statement_of_account retired, still required, or replaced by another active type?","Either reactivate it, remove the finance reference, or replace the mapping with the canonical active type."
DT-008,low,legacy_cleanup,release_student_info,"Catalog row is inactive and still appears in older notes/planning artifacts.","db/dump/LaptopTransfer.sql; docs/meta/level0-document-checklist.md; docs/planning/document-model-erm-adjustment.md","Future reviewers may assume the type is still live when it appears to be retired.","Is release_student_info formally retired?","If retired, keep it inactive and remove or annotate stale references in docs."
DT-009,medium,unused_scope_model,"case|payment_packet","The schema supports case and payment_packet scopes, but the seeded catalog currently has no active rows using either scope.","db/dump/LaptopTransfer.sql; docs/data/documents-model.md","The model advertises scopes that are not actually represented in the seeded type catalog, which makes requirements look more settled than they are.","Should PATH actively use case-scoped and payment-packet-scoped document types?","If yes, seed the canonical rows. If no, remove or de-emphasize those scopes from requirements language."
DT-010,high,code_fallback_bug,financial_evidence,"Server-side synthetic payment-evidence generation still falls back to financial_evidence, which is not present in the seeded catalog.","isetadminserver.js","Even if NWAC picks evidence_income/evidence_expense as canonical, this fallback keeps regenerating the old missing code path.","Should the fallback document type for generated payment evidence use one canonical active code, or should generation fail when no mapping exists?","After NWAC confirms the canonical evidence codes, replace the hardcoded fallback with that canonical value or with explicit validation failure."
DT-011,medium,requirements_gap,"document_type vs source","Current implementation models document type separately from origin/source, but review conversations often ask to group types by origin.","docs/data/documents-model.md; isetadminserver.js","Requirements can become muddled if origin is treated as part of the type instead of a separate attribute.","Does NWAC want a formal type-to-origin crosswalk, or is source/origin a separate reporting attribute only?","Keep type and origin separate in the canonical requirement, and add a crosswalk only if NWAC wants one."
